TC,Day,s&p500,,,
23999954,01/04/21,3700.65,,,
24260624,01/05/21,3726.86,,,
24547002,01/06/21,3748.14,,,
24855756,01/07/21,3803.79,,,
25181123,01/08/21,3824.68,,,
25952199,01/11/21,3799.61,,,
26210303,01/12/21,3801.19,,,
26472731,01/13/21,3809.84,,,
26740633,01/14/21,3795.54,,,
27018467,01/15/21,3768.25,,,
27829630,01/19/21,3798.91,,,
28046212,01/20/21,3851.85,,,
28276558,01/21/21,3853.07,,,
28501118,01/22/21,3841.47,,,
29027323,01/25/21,3855.36,,,
29202674,01/26/21,3849.62,,,
29385449,01/27/21,3750.77,,,
29584400,01/28/21,3787.38,,,
29778952,01/29/21,3714.24,,,
30225559,02/01/21,3773.86,,,
30354051,02/02/21,3826.31,,,
30498541,02/03/21,3830.17,,,
30632913,02/04/21,3871.74,,,
30804071,02/05/21,3886.83,,,
31136386,02/08/21,3915.59,,,
31249927,02/09/21,3911.23,,,
31364700,02/10/21,3909.88,,,
31490019,02/11/21,3916.38,,,
31608597,02/12/21,3934.83,,,
31932775,02/16/21,3932.59,,,
32018977,02/17/21,3931.33,,,
32106654,02/18/21,3913.97,,,
32201941,02/19/21,3906.71,,,
32421609,02/22/21,3876.50,,,
32509927,02/23/21,3881.37,,,
32600866,02/24/21,3925.43,,,
32693975,02/25/21,3829.34,,,
32786334,02/26/21,3811.15,,,
32992825,03/01/21,3901.82,,,
33065577,03/02/21,3870.29,,,
33147548,03/03/21,3819.72,,,
33230257,03/04/21,3768.47,,,
33309943,03/05/21,3841.94,,,
33485219,03/08/21,3821.35,,,
